trader_group,country_of_destination,cocoa_deforestation_15_years_total_exposure,cocoa_net_emissions_15_years_total
CARGILL,GERMANY,0.245101054,5.664106368
ECOM,CHINA (MAINLAND),0.602913048,31.96464138
CARGILL,CANADA,0.354527355,18.48671732
OLAM,NETHERLANDS,0.523155595,15.74224022
BARRY CALLEBAUT,MALAYSIA,0.298614952,10.65747755
OLAM,NETHERLANDS,0.538557572,16.20570008
BARRY CALLEBAUT,CONGO DEMOCRATIC REPUBLIC OF THE,0.114070582,5.948174571
BARRY CALLEBAUT,GERMANY,0.1318545,5.01850924
BARRY CALLEBAUT,BELGIUM,0.396365509,21.01411037
BARRY CALLEBAUT,CANADA,0.098338997,3.991928973
BARRY CALLEBAUT,MALAYSIA,0.612698282,37.2119622
OLAM,PORTUGAL,3.669249529,191.3318615
BARRY CALLEBAUT,SOUTH AFRICA,0.013923867,0.453597796
BARRY CALLEBAUT,TURKEY,2.316978427,405.3414174
TOUTON,ITALY,0.748225533,67.95379123
OLAM,AUSTRALIA,1.613860073,295.1933342
BARRY CALLEBAUT,GERMANY,0.058693284,2.094745587
BARRY CALLEBAUT,GERMANY,0.796521918,27.4298701
OLAM,GREECE,0.087083414,13.04248886
BARRY CALLEBAUT,SOUTH AFRICA,0.026783155,1.08722334
BARRY CALLEBAUT,GERMANY,0.155774025,3.561675031
CARGILL,GERMANY,0.611073657,32.39729238
OLAM,GREECE,0.031137874,4.460329635
OLAM,RUSSIAN FEDERATION,0.193771058,10.10413079
ETC GROUP,CANADA,2.296269052,208.5469967
OLAM,NETHERLANDS,0.300886998,13.8770485
BARRY CALLEBAUT,MALAYSIA,1.430952315,43.05869094
OLAM,BELGIUM,0.034113058,1.121265035
BARRY CALLEBAUT,MALAYSIA,1.059477079,43.00793551
ECOM,MALAYSIA,0.287363534,6.570386353
BARRY CALLEBAUT,BRAZIL,1.118221922,39.90900298
BARRY CALLEBAUT,CROATIA,1.458665459,43.89260531
BARRY CALLEBAUT,SOUTH AFRICA,0.086863183,4.632740597
OLAM,BELGIUM,0.110617035,16.56712102
BARRY CALLEBAUT,CANADA,1.445757083,264.4453884
OLAM,UNITED ARAB EMIRATES,1.074001288,122.8860401
BARRY CALLEBAUT,COTE D'IVOIRE,0.033415694,0.987825838
OLAM,MALAYSIA,0.463279162,34.75585406
OLAM,PORTUGAL,4.006313341,458.3979436
OLAM,NETHERLANDS,3.551742708,226.4629662
BARRY CALLEBAUT,SENEGAL,0.164821213,9.700402338
BARRY CALLEBAUT,SOUTH AFRICA,0.012064977,0.356661638
CARGILL,CANADA,0.128169716,5.911247002
TOUTON,BELGIUM,1.0931125,58.29980552
OLAM,GREECE,0.191644924,12.21948815
CARGILL,NETHERLANDS,1.006643241,45.54180595
BARRY CALLEBAUT,ITALY,0.172553487,9.148268281
