site_id,Company,Corp,Site,State,PADD,AD_Mbpd,Vdist_Mbpd,CaDis_Mbpd,HyCrk_Mbpd,VRedu_Mbpd,CaRef_Mbpd,Isal_Mbpd,HDS_Mbpd,Cokin_Mbpd,Asph_Mbpd,Latitude,Longitude,NearestMajorCity,NearestMajorCity_Latitude,NearestMajorCity_Longitude,FEMA_Hazard_Zone,DriveDuration_Seconds
83,TOTALENERGIES PETROCHEM & REFG USA,TOTALENERGIES SE,PORT ARTHUR,Texas,3,245,117,80,0,0,43,15.3,274.5,60,0,29.96046,-93.88847,Beaumont,30.08111911,-94.10222049,No Data,1749.5
84,ALON USA ENERGY INC,DELEK GROUP LTD,BIG SPRING,Texas,3,74,28,23.5,0,0,21.5,5,60.8,0,7.6,32.270992,-101.415073,Midland,32.00006768,-102.0728414,AREA OF MINIMAL FLOOD HAZARD,3349.2
87,MARATHON PETROLEUM CO LP,MARATHON PETROLEUM CORP,CATLETTSBURG,Kentucky,2,316,134,109,0,0,58,44,281.5,0,35.4,38.376602,-82.596408,Lexington-Fayette,38.04940919,-84.498175,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,7913.3
89,MARATHON PETROLEUM CO LP,MARATHON PETROLEUM CORP,CANTON,Ohio,2,105,35,24,0,0,23.5,8.5,98,0,17,40.772929,-81.413878,Akron,41.08004603,-81.52186354,AREA OF MINIMAL FLOOD HAZARD,2248.9
92,ST PAUL PARK REFINING CO LLC,MARATHON PETROLEUM CORP,SAINT PAUL,Minnesota,2,111,51,33.5,0,0,23.5,22.5,98,0,19.5,44.851007,-92.994345,St. Paul,44.95580765,-93.1060355,AREA OF MINIMAL FLOOD HAZARD,1075.9
97,TESORO REFINING & MARKETING CO,MARATHON PETROLEUM CORP,CARSON,California,5,384.5,205,110,99.5,0,83,71.5,305,109.1,0,33.818578,-118.236677,Long Beach,33.77100378,-118.1886906,AREA WITH REDUCED FLOOD RISK DUE TO LEVEE,1020.4
98,BP PRODUCTS NORTH AMERICA INC,BP PLC,FERNDALE,Washington,5,251,139,0,65,0,65.4,26,179.9,61.5,0,48.884624,-122.734766,Everett,47.98219885,-122.2008645,AREA OF MINIMAL FLOOD HAZARD,6047.6
110,CALUMET PRINCETON REFINING LLC,"CALUMET SPECIALTY PRODUCTS PARTNERS, L.P.",PRINCETON,Louisiana,3,8.655,7,0,0,0,0,0,9.5,0,2,32.59107,-93.511874,Shreveport,32.51086601,-93.7496355,AREA OF MINIMAL FLOOD HAZARD,1445.8
111,CALUMET COTTON VALLEY REFINING LLC,"CALUMET SPECIALTY PRODUCTS PARTNERS, L.P.",COTTON VALLEY,Louisiana,3,14,0,0,0,0,0,0.5,6.5,0,0,32.798531,-93.411128,Shreveport,32.51086601,-93.7496355,AREA OF MINIMAL FLOOD HAZARD,3289.7
115,CHS MCPHERSON REFINERY INC,CHS INC,MCPHERSON,Kansas,2,117.1,52.5,25.3,43,0,28.5,25,89.4,27.5,0,38.341628,-97.67768,Wichita,37.69134449,-97.34226726,AREA OF MINIMAL FLOOD HAZARD,3710
116,CENEX HARVEST STATES COOP,CHS INC,LAUREL,Montana,4,64,32.2,16.5,0,0,12.5,5.25,62,16,19.8,45.658374,-108.7681,Billings,45.78206474,-108.5107427,AREA OF MINIMAL FLOOD HAZARD,1550.8
119,CHEVRON USA INC,CHEVRON CORP,EL SEGUNDO,California,5,290.5,169.1,73.8,55,0,49,66.1,169.5,76.7,0,33.911422,-118.410994,Inglewood,33.95645919,-118.3442981,AREA OF MINIMAL FLOOD HAZARD,789.1
120,CHEVRON USA INC,CHEVRON CORP,RICHMOND,California,5,257.2,123.456,90,103.4,0,71.3,85.862,382.2,0,0,37.94978,-122.398665,Richmond,37.93631643,-122.3458541,AREA OF MINIMAL FLOOD HAZARD,1040.9
123,WESTERN REFINING COMPANY LP,MARATHON PETROLEUM CORP,EL PASO,Texas,3,140,55.5,35,0,0,30,16.5,130,0,4,31.767512,-106.395613,El Paso,31.75760321,-106.4871761,AREA OF MINIMAL FLOOD HAZARD,628
124,CHEVRON USA INC,CHEVRON CORP,SALT LAKE CITY,Utah,4,57.6,27.9,15.5,0,0,9.1,6.618,50.3,10,0,40.824744,-111.923936,Salt Lake City,40.76120512,-111.8907506,AREA OF MINIMAL FLOOD HAZARD,1229.8
125,CHEVRON USA INC,CHEVRON CORP,PASCAGOULA,Mississippi,3,375.2,330,88,119,0,101.6,22,284.3,104,0,30.344744,-88.489914,Mobile,30.68527017,-88.05143433,No Data,3022
147,DELEK REFINING LTD,DELEK GROUP LTD,TYLER,Texas,3,77.5,28,20.25,0,0,17.5,4.72,77,7.5,0,32.360432,-95.281964,Tyler,32.34113079,-95.29417294,AREA OF MINIMAL FLOOD HAZARD,434.5
